id,lingkar dada,lebar dada,dalam dada,panjang badan,tinggi pundak,tinggi pinggul,lebar pinggul,berat badan
395,55.00,23.57,12.60,49.60,46.87,50.77,12.03,14.40
396,66.57,25.53,13.27,52.73,53.77,61.53,16.13,24.91
397,66.70,26.77,13.90,67.73,56.17,56.27,16.70,28.34
398,61.77,24.33,13.37,53.23,55.20,59.00,13.80,22.27
399,67.63,25.53,15.17,55.20,54.30,53.23,16.27,24.41
400,61.77,21.70,11.57,58.10,55.73,56.53,15.40,24.06
401,61.47,26.17,13.47,53.07,61.07,63.07,14.63,24.05
402,57.93,23.53,11.47,53.67,48.20,48.83,14.10,20.63
403,69.57,25.60,14.07,54.57,56.53,59.67,14.43,25.74
404,60.23,10.30,20.77,46.17,40.27,51.43,10.23,18.94
405,68.17,12.90,28.53,42.73,59.67,63.47,11.00,25.17
406,59.30,14.17,22.37,51.33,57.67,59.17,9.50,18.81
407,78.47,15.53,27.90,62.27,65.93,67.57,14.97,37.29
408,63.73,14.23,26.23,59.40,52.80,61.77,15.40,21.17
409,67.70,12.87,26.77,62.97,53.13,58.33,14.87,25.50
410,59.43,13.60,21.70,53.03,43.97,49.43,13.23,19.49
411,69.10,14.97,25.37,55.73,54.73,57.87,14.57,26.69
412,69.17,16.63,24.37,55.40,46.33,49.60,14.33,26.50
413,59.97,14.20,22.53,51.00,48.80,53.90,16.23,20.04
414,71.57,15.70,28.83,53.03,58.67,54.17,14.30,26.65
415,71.50,15.77,27.40,56.53,54.20,61.60,16.13,28.89
416,69.50,18.37,27.43,59.33,56.17,61.33,19.37,28.93
417,72.73,17.17,26.80,58.33,52.07,56.03,17.67,29.86
418,64.10,11.87,27.30,49.03,55.63,61.27,15.23,20.34
419,62.40,13.67,25.00,51.17,58.97,53.97,15.27,23.07
420,71.07,13.27,29.37,63.50,56.23,57.27,22.63,31.88
421,64.10,16.27,26.27,64.60,57.23,61.97,13.77,24.68
422,68.73,16.33,27.33,62.40,61.90,63.77,20.13,29.03
423,62.37,12.73,25.50,57.63,53.17,57.60,15.20,26.41
424,78.27,13.83,21.87,52.67,52.87,57.67,13.13,27.17
425,76.43,13.90,26.67,55.40,56.90,59.40,11.90,28.53
426,71.30,14.60,27.37,54.80,58.57,62.77,13.40,25.07
427,65.17,17.30,28.70,55.47,58.10,63.10,12.40,23.27
428,76.77,17.67,26.50,66.00,51.37,57.80,18.60,38.40
429,80.93,15.53,32.10,65.40,63.70,59.90,15.10,34.27
430,83.53,16.33,29.40,65.27,51.63,56.10,17.33,35.58
431,68.07,15.60,27.33,52.73,57.07,60.80,14.03,24.45
432,72.60,15.17,29.70,55.33,56.63,63.20,14.43,27.48
433,76.97,15.27,28.27,55.37,52.33,56.53,17.00,34.04
434,68.80,15.60,26.27,55.37,60.80,64.70,14.47,30.89
435,66.60,14.67,27.90,52.53,53.53,58.77,13.50,21.87
436,71.60,15.90,26.37,57.00,55.50,59.47,19.30,30.05
437,71.00,13.20,29.60,62.47,54.13,56.37,20.10,29.62
438,71.63,18.07,25.60,64.43,58.10,60.17,22.17,38.83
439,74.60,19.20,28.17,62.17,57.00,59.10,21.43,35.59
440,74.60,16.20,26.30,58.13,55.30,58.13,18.07,31.08
441,75.67,18.43,26.60,61.67,56.67,59.47,22.60,33.51
442,62.73,13.83,23.27,55.40,51.17,52.10,13.60,22.35
443,69.27,12.77,27.23,62.47,52.23,61.23,16.60,30.24
